topic_group,videos,mae,mean_target
Pets & Animals | pet nutrition,2,2.888667311777776,-4.169576758809159
Artificial Intelligence | neural networks,1,2.826220020564403,2.372206693409119
Pets & Animals | dog training,1,2.741452354000844,1.8324638793206915
Content Creation | premiere pro tutorial,2,1.9881731782838081,-0.33045192340607255
Health | healthy eating,1,1.7749720358294918,-2.200738624258232
Personal Finance | credit score,1,1.669059623392978,-1.539390613280263
Food & Cooking | vegetarian recipes,1,1.6381994998564933,-2.6779169170770665
Artificial Intelligence | prompt engineering,2,1.6031191259502529,0.667379390770922
Content Creation | video editing,4,1.5691156669271527,-0.7274321154053798
Content Creation | creator economy,9,1.4814904526578028,-1.3109880795343198
Lifestyle | daily routine,5,1.459248894845739,-1.6211735703363872
Music | music theory,2,1.409199879779576,-1.3745422878350135
Entertainment | web series review,2,1.3737472237745654,1.263550393080677
Business & Entrepreneurship | business growth,5,1.3584718455595168,1.8402166231124077
Digital Marketing | google ads,2,1.3531113700094273,-0.38434626549343065
History | medieval history,9,1.3388312371232811,0.21507249657432434
Education | career guidance,13,1.3196685878899241,0.39653134694875464
Lifestyle | life hacks,1,1.3175298335279642,0.0692313223256668
Travel | backpacking,2,1.279222111096657,-0.10552858144391841
Technology | cybersecurity,5,1.2641865080594001,-0.17696221347953944
Photography | beginner photography,3,1.260316936537719,1.1421995890250596
Sports | cricket tips,7,1.2593283052036153,1.270490863034269
Fitness | bodyweight workout,9,1.2479126800805884,-0.3339496955405501
Technology | future technology,18,1.2414679227237706,-0.5612566198531803
Personal Finance | saving money,9,1.2395250715843344,1.0262650055714135
Education | online learning,1,1.238272659317726,-1.2302684017410854
Data Science | exploratory data analysis,5,1.2166665628802826,-1.145344369948988
Data Science | statistics,7,1.2163550473527474,0.8597684670489069
Sports | sports analysis,7,1.2095362220014525,0.863876866046626
Artificial Intelligence | large language models,3,1.1928486954219224,-1.479925417852287
Fashion | shoe collection,3,1.1903268791048973,-0.22580131117586846
Artificial Intelligence | natural language processing,3,1.1840169114187882,-1.550488650271409
Content Creation | youtube seo,4,1.175465357846336,-0.03541511372056272
Music | instrumental music,6,1.1456059007709942,-1.3294219896270558
Business & Entrepreneurship | business management,5,1.1426661008689352,-1.5191748696206548
Content Creation | youtube growth,7,1.13476232208237,-0.3209023503626075
Business & Entrepreneurship | startup ideas,10,1.1295170599339017,1.1063366111823858
History | historical events,4,1.114647125864419,0.42866945677464163
Personal Finance | mutual funds,11,1.1138218424246786,0.21712926712695219
Automotive | car comparison,5,1.1088064203534604,-0.22239726218970118
Health | wellness tips,2,1.1076994362550925,-1.1543855169155304
